,Movie_Title,Duration,Certification_Of_Film,Description_Of_Film,Rating_Of_Film,Votes_Of_Film,Metastores,Gross
37,Polar,118 min,TV-MA,"A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",6.3,"61,707",,
38,Pet Sematary,101 min,R,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home.",5.8,"60,890",,
39,Parasite,132 min,R,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",8.5,"60,466",,
40,Escape Room,99 min,PG-13,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.,6.3,"58,968",,
41,Yesterday,116 min,PG-13,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate timeline where they never existed.,6.9,"58,730",,
42,"Extremely Wicked, Shockingly Evil and Vile",110 min,R,"A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",6.6,"56,750",,
43,Hellboy,120 min,R,"Based on the graphic novels by Mike Mignola, Hellboy, caught between the worlds of the supernatural and human, battles an ancient sorceress bent on revenge.",5.2,"56,158",,
44,The Highwaymen,132 min,R,The untold true story of the legendary detectives who brought down Bonnie and Clyde.,6.9,"54,731",,
45,Long Shot,125 min,R,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.9,"53,477",,
46,I Am Mother,113 min,TV-14,"In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.",6.8,"52,013",,
47,When They See Us,296 min,TV-MA,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,9.0,"51,881",,
48,Brightburn,90 min,R,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",6.2,"51,595",,
49,Isn't It Romantic,89 min,PG-13,A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.,5.9,"51,055",,
